timestamp,code,date,close,atr,iv,poc,adv20,buy_price,stop_loss,target_price,risk_reward,risk_reward_after_slippage,decision,action,suggested_shares,circuit_breaker
2026-03-18 15:01:58,QQQ,2026-03-17 20:00:01,603.31,18.33,0.002,605.43,264723359.0,591.33,591.18,630.0,257.8,14.9,HOLD_WITH_POSITION,持仓观望,100,False
2026-03-18 15:29:13,NVDA,2026-03-17 20:00:00,181.93,12.35,0.0078,17.86,807386541.0,170.31,181.31,197.63,,,HOLD_WITH_POSITION,持仓观望,3200,False
2026-03-18 15:29:40,601012,2026-03-18 07:00:01,18.54,1.3,,18.53,870068298.0,18.41,20.32,22.1,,,SELL,清仓,0,False
2026-03-18 15:30:51,NVDA,2026-03-17 20:00:00,181.93,12.35,0.0078,17.86,807386541.0,170.31,181.31,197.63,,,HOLD_WITH_POSITION,持仓观望,3200,False
2026-03-18 15:31:07,TSLA,2026-03-17 20:00:00,399.27,30.2,0.0039,234.8,297654717.0,382.78,423.33,495.28,,,SELL,清仓,0,False
2026-03-18 15:31:21,QQQ,2026-03-17 20:00:01,603.31,18.33,0.002,605.43,264723359.0,591.33,591.18,630.0,257.8,14.9,HOLD_WITH_POSITION,持仓观望,100,False
2026-03-18 15:35:42,0700.HK,2026-03-18 07:19:34,548.0,31.61,,514.59,96731645.0,502.5,584.97,642.5,,,SELL,清仓,0,False
2026-03-18 15:35:53,1810.HK,2026-03-18 07:19:44,35.16,2.9,,39.57,734236429.0,32.56,38.74,43.64,,,SELL,清仓,0,False
2026-03-18 15:36:04,TSLA,2026-03-17 20:00:00,399.27,30.2,0.0039,234.8,297654717.0,382.78,423.33,495.28,,,SELL,清仓,0,False
2026-03-18 15:36:19,NVDA,2026-03-17 20:00:00,181.93,12.35,0.0078,17.86,807386541.0,170.31,181.31,197.63,,,HOLD_WITH_POSITION,持仓观望,3200,False
2026-03-18 15:36:35,QQQ,2026-03-17 20:00:01,603.31,18.33,0.002,605.43,264723359.0,591.33,591.18,630.0,257.8,14.9,HOLD_WITH_POSITION,持仓观望,100,False
2026-03-18 16:37:48,TSLA,2024-01-15 00:00:00,148.29,3.19,,104.46,954973.0,143.71,146.4,153.68,,,HOLD_WITH_POSITION,持仓观望,1000,False
2026-03-18 16:38:22,TSLA,2024-01-15 00:00:00,148.29,3.19,,104.46,954973.0,143.71,146.4,153.68,,,HOLD_WITH_POSITION,持仓观望,1000,False
2026-03-18 17:18:23,TSLA,2024-01-15 00:00:00,148.29,3.19,,104.46,954973.0,143.71,146.4,153.68,,,HOLD_WITH_POSITION,持仓观望,1000,False
2026-03-18 17:19:05,TSLA,2024-01-15 00:00:00,148.29,3.19,,104.46,954973.0,143.71,146.4,153.68,,,HOLD_WITH_POSITION,持仓观望,1000,False
2026-03-18 17:19:24,TSLA,2024-01-15 00:00:00,148.29,3.19,,104.46,954973.0,143.71,146.4,153.68,,,HOLD_WITH_POSITION,持仓观望,1000,False
2026-03-18 17:37:47,TSLA,2024-01-15 00:00:00,148.29,3.19,,104.46,954973.0,143.71,146.4,153.68,,,HOLD_WITH_POSITION,持仓观望,1000,False
2026-03-18 17:46:40,TSLA,2024-01-15 00:00:00,148.29,3.19,,104.46,954973.0,143.71,146.4,153.68,,,HOLD_WITH_POSITION,持仓观望,1000,False
2026-03-18 19:11:42,0700.HK,2026-03-18 08:08:03,550.5,31.65,,514.59,96923940.0,502.5,584.88,642.5,,,SELL,清仓,0,False
2026-03-18 19:11:55,1810.HK,2026-03-18 08:08:03,35.14,2.9,,39.57,735563565.0,32.56,38.74,43.64,,,SELL,清仓,0,False
2026-03-18 19:12:11,NVDA,2026-03-17 20:00:00,181.93,12.35,0.0078,179.54,807386541.0,170.31,181.31,197.63,,,HOLD_WITH_POSITION,持仓观望,3200,False
2026-03-18 19:12:28,TSLA,2026-03-17 20:00:00,399.27,30.2,0.0039,435.57,297654717.0,382.78,423.33,495.28,,,SELL,清仓,0,False
